Cancer id,Cancer label,Population code (ISO/UN),Population,Country,Sex,Type,ASR (World) per 100 000,Corrected Country
20,Breast,312,"France, Guadeloupe",GLP,0,0,66.41,Guadeloupe
20,Breast,316,Guam,GUM,0,0,44.15,Guam
20,Breast,320,Guatemala,GTM,0,0,28.35,Guatemala
20,Breast,324,Guinea,GIN,0,0,15.95,Guinea
20,Breast,328,Guyana,GUY,0,0,52.6,Guyana
20,Breast,332,Haiti,HTI,0,0,25.16,Haiti
20,Breast,340,Honduras,HND,0,0,27.28,Honduras
20,Breast,348,Hungary,HUN,0,0,76.38,Hungary
20,Breast,352,Iceland,ISL,0,0,71.06,Iceland
20,Breast,356,India,IND,0,0,26.6,India
20,Breast,360,Indonesia,IDN,0,0,41.78,Indonesia
20,Breast,364,Iran (Islamic Republic of),IRN,0,0,30.45,Iran
20,Breast,368,Iraq,IRQ,0,0,56.91,Iraq
20,Breast,372,Ireland,IRL,0,0,91.45,Ireland
20,Breast,376,Israel,ISR,0,0,78.74,Israel
20,Breast,380,Italy,ITA,0,0,87.01,Italy
20,Breast,384,Côte d'Ivoire,CIV,0,0,45.44,Ivory Coast
20,Breast,388,Jamaica,JAM,0,0,71.12,Jamaica
20,Breast,392,Japan,JPN,0,0,74.39,Japan
20,Breast,398,Kazakhstan,KAZ,0,0,36.94,Kazakhstan
20,Breast,400,Jordan,JOR,0,0,59.99,Jordan
20,Breast,404,Kenya,KEN,0,0,40.77,Kenya
20,Breast,408,Korea (Democratic People Republic of),PRK,0,0,32.25,North Korea
20,Breast,410,Republic of Korea,KOR,0,0,61.48,South Korea
20,Breast,414,Kuwait,KWT,0,0,49.83,Kuwait
20,Breast,417,Kyrgyzstan,KGZ,0,0,25.31,Kyrgyzstan
20,Breast,418,Lao People's Democratic Republic,LAO,0,0,31.63,Laos
20,Breast,422,Lebanon,LBN,0,0,57.89,Lebanon
20,Breast,426,Lesotho,LSO,0,0,18.92,Lesotho
20,Breast,428,Latvia,LVA,0,0,65.95,Latvia
20,Breast,430,Liberia,LBR,0,0,33.57,Liberia
20,Breast,434,Libya,LBY,0,0,30.98,Libya
20,Breast,440,Lithuania,LTU,0,0,62.74,Lithuania
20,Breast,442,Luxembourg,LUX,0,0,99.7,Luxembourg
20,Breast,450,Madagascar,MDG,0,0,30.32,Madagascar
20,Breast,454,Malawi,MWI,0,0,25.19,Malawi
20,Breast,458,Malaysia,MYS,0,0,46.09,Malaysia
20,Breast,462,Maldives,MDV,0,0,39.84,Maldives
20,Breast,466,Mali,MLI,0,0,37.73,Mali
20,Breast,470,Malta,MLT,0,0,86.3,Malta
20,Breast,474,"France, Martinique",MTQ,0,0,77.16,Martinique
20,Breast,478,Mauritania,MRT,0,0,34.54,Mauritania
20,Breast,480,Mauritius,MUS,0,0,52.68,Mauritius
20,Breast,484,Mexico,MEX,0,0,39.94,Mexico
20,Breast,496,Mongolia,MNG,0,0,12.63,Mongolia
20,Breast,498,Moldova,MDA,0,0,46.57,Republic of Moldova
20,Breast,499,Montenegro,MNE,0,0,76.54,Montenegro
20,Breast,504,Morocco,MAR,0,0,58.37,Morocco
20,Breast,508,Mozambique,MOZ,0,0,19.69,Mozambique
20,Breast,512,Oman,OMN,0,0,33.96,Oman
20,Breast,516,Namibia,NAM,0,0,53.93,Namibia
20,Breast,524,Nepal,NPL,0,0,14.35,Nepal
20,Breast,528,The Netherlands,NLD,0,0,101.6,Netherlands
20,Breast,540,New Caledonia,NCL,0,0,90.18,New Caledonia
20,Breast,548,Vanuatu,VUT,0,0,29.6,Vanuatu
20,Breast,554,New Zealand,NZL,0,0,94.36,New Zealand
20,Breast,558,Nicaragua,NIC,0,0,35.32,Nicaragua
20,Breast,562,Niger,NER,0,0,29.46,Niger
20,Breast,566,Nigeria,NGA,0,0,51.5,Nigeria
20,Breast,578,Norway,NOR,0,0,95.56,Norway
20,Breast,586,Pakistan,PAK,0,0,34.23,Pakistan
20,Breast,591,Panama,PAN,0,0,41.39,Panama
20,Breast,598,Papua New Guinea,PNG,0,0,46.03,Papua New Guinea
20,Breast,600,Paraguay,PRY,0,0,58.37,Paraguay
20,Breast,604,Peru,PER,0,0,39.3,Peru
20,Breast,608,Philippines,PHL,0,0,60.34,Philippines
